날짜,라움,마쥬,바네사브루노,산드로,솔리드옴므,시스템옴므,에르메네질도 제냐,엠포리오아르마니,질스튜어트,질스튜어트뉴욕,자딕앤볼테르,이자벨마랑,타임옴므,폴로랄프로렌
2018-10-29,18.3733,39.73383,28.57006,64.50763,46.86198,65.46988817,9.263239969,17.12384521,135.6982809,20.27863234,17.19087265,38.84345215,36.0285787,163.0907691
2018-11-05,19.06745,38.60883,27.36847,63.20072,46.2923,60.22310303,8.81324929,17.72702361,127.6174807,16.52065796,16.86055154,38.04399488,33.85517426,171.3870039
2018-11-12,17.85628,39.87744,28.58442,65.96294,43.22849,62.13799183,8.841966692,16.3961965,133.4674442,17.23396292,16.68344657,37.57005836,33.60626157,178.7114609
2018-11-19,18.22969,44.13806,31.25568,78.32351,43.91306,63.26299676,9.047817097,18.67489554,158.4806121,18.56001946,18.66534496,37.60357616,35.56421465,266.3366046
2018-11-26,20.72861,39.12106,29.54186,69.62994,43.43913,59.05503611,8.411120948,16.41054109,142.4291091,16.13290198,18.26801651,32.57700834,30.49935693,171.5784987
2018-12-03,16.62597,46.68007,28.24453,73.97194,43.58274,56.92472444,8.947292071,19.90519761,152.9226794,16.87015226,20.72385142,35.93282567,30.10680059,166.1210794
2018-12-10,19.36904,43.86997,28.79027,72.63152,41.59126,53.91354811,7.803142202,15.28556439,176.8443601,16.08981171,17.33928842,36.31103741,30.039765,171.6024355
2018-12-17,18.85202,37.85245,25.90837,66.25975,38.62319,48.84389598,8.616971353,16.18077363,169.2518404,13.14569567,18.00950311,39.43708701,27.42594184,159.150895
2018-12-24,14.35683,38.05352,25.9323,64.62731,37.49341,49.45667508,8.004192254,14.59620555,159.1747713,11.92016427,16.56854859,33.90306489,25.80308198,156.4891976
2018-12-31,13.52386,38.91521,25.64507,65.89592,33.66843,51.73060199,7.779196915,13.61001551,156.2784928,11.62813308,15.67811042,36.2535743,23.93128121,145.5169253
2019-01-07,15.84087,41.49552,24.96529,70.9943,32.7828,50.16517885,8.932919251,15.24247417,171.5066224,11.04409894,17.77493503,40.9833388,23.59618799,147.3743664
2019-01-14,17.10469,42.24232,25.29082,80.95169,31.27962,47.34550834,8.272277815,14.69673058,164.866775,10.76164023,20.49405546,45.87589191,23.19883129,157.4610118
2019-01-21,16.34831,48.1641,26.38709,85.95433,32.15089,46.8045651,8.679206509,15.66851956,167.0210037,11.77654886,19.57492809,41.99344707,23.2562944,160.6923771
2019-01-28,13.52865,49.38005,26.1956,84.39848,31.49025,45.78965766,8.597826418,15.45309669,178.3236028,10.49355435,17.91855044,46.3019378,22.98340817,154.9046585
2019-02-04,14.63449,57.41777,28.35942,91.10536,39.16415,52.74068084,8.851539159,20.53234953,282.3736688,13.3611188,17.88023229,43.55887205,27.52169486,195.3709609
2019-02-11,18.4499,70.54909,29.40303,90.31068,36.7131,46.86680026,8.099945165,23.23712219,238.3169384,11.13027948,20.02969142,49.36098006,24.7068214,178.6588072
2019-02-18,19.62755,72.55972,34.19024,87.0123,37.29235,47.76198126,7.76005198,18.09086208,265.6614962,10.78078518,21.75310465,64.24923392,24.38127242,178.6492105
2019-02-25,17.34884,61.66403,37.74713,90.29154,39.05404,50.18432378,9.392482397,18.19618746,238.8291924,13.07866008,25.22862032,60.132221,27.16265632,205.8789095
2019-03-04,17.50682,56.35023,36.81363,83.62774,39.61893,49.11198154,10.0626963,15.61585687,163.7130527,11.50846298,23.754148,50.64394632,26.99032347,191.9433208
2019-03-11,31.67695,57.5566,34.85087,100.0,40.4184,46.8045651,9.110052253,15.06054081,137.4312646,12.12601492,37.78548149,50.02162227,26.72223759,209.5267613
2019-03-18,29.17803,59.82095,38.34554,85.98784,41.71094,45.60775255,9.794610739,18.47384549,139.714764,12.3941008,30.82967803,48.75780095,25.24299315,200.5220177
2019-03-25,20.47489,60.19914,33.48652,82.26339,37.99128,43.21892778,8.468555752,15.66374745,140.1456097,12.73399438,25.43447096,45.27268457,22.59565219,174.2210393
2019-04-01,19.22064,51.91727,31.94983,72.51663,37.21575,43.81733406,8.114317985,16.94194009,130.097258,12.46110815,25.57328602,39.34133399,21.06851713,191.1438446
2019-04-08,19.21585,48.27899,33.89343,71.75068,42.29977,43.08968535,8.583453598,15.26639122,121.2408903,10.83344793,26.07116786,40.38973218,20.92012959,196.5294534
2019-04-15,19.62276,58.33213,32.03599,68.40442,40.14074,37.48386209,11.34088895,15.89831525,121.0637855,9.315913584,28.00043174,45.78013889,19.68022535,215.8889643
2019-04-22,18.56958,47.96304,38.05352,63.10977,28.05782,34.89875939,11.04408599,14.62969507,109.5553078,8.281859996,24.53926067,63.20560785,19.94353911,206.8459071
2019-04-29,15.97012,46.13911,41.32797,59.07415,27.67964,35.12375473,9.277612788,12.95417443,109.0574548,8.07600935,21.4419285,48.13544866,17.18130017,205.7209117
2019-05-06,16.65948,48.62367,44.91359,61.88424,26.88975,35.85140344,10.53186015,14.56745991,119.6467497,8.549945871,22.15043311,44.01366362,17.7988521,224.869771
2019-05-13,19.67542,50.90717,37.9482,64.09114,24.40997,37.16311384,11.11109326,16.01798521,122.6722706,18.6940624,20.77171381,56.73328516,16.99939484,219.3309811
2019-05-20,19.00521,44.54018,36.54555,59.05021,24.66848,34.75514414,9.904736469,15.43395175,112.250508,10.5797349,19.55098277,47.79555507,15.64939298,207.9421856
2019-05-27,17.49246,43.45827,35.98544,60.14648,23.6871,32.98387059,9.550470465,14.01214386,109.378203,9.722814518,18.27278863,44.86098328,15.2951548,197.563518
2019-06-03,15.71161,56.33587,34.42481,59.83053,24.54401,36.7322681,10.14887674,15.62065722,109.3446853,8.348895583,17.87065981,42.47218395,15.98928656,201.2735837
2019-06-10,15.77863,49.96409,32.05514,59.72521,22.19349,34.12322011,8.559508311,18.04777186,104.3659857,7.731343645,19.39779488,44.54983537,16.49674088,189.6789532
2019-06-17,17.29618,45.2439,32.27536,60.90765,22.63392,34.8173793,8.530790909,15.28556439,104.0643824,8.693561288,19.48394719,42.98441039,14.56270488,200.6033884
